Nutrient or Food group,Variable,Value,Table
Seafood (oz),2017-2018 density as a ratio of the recommended density-Restaurant-Ratio of actual density to the recommended density,1.386135088,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)",2017-2018 density as a ratio of the recommended density-Restaurant-Ratio of actual density to the recommended density,0.470061111,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),2017-2018 density as a ratio of the recommended density-Restaurant-Ratio of actual density to the recommended density,1.448888889,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.425,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.319327731,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.1,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.3068,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.91902,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.651111111,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.519695652,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.512,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.363636364,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.396702564,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.272727273,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.555555556,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.862068966,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.16,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.156666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.08,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,2.233333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.493333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.901818182,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)",2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.99420914,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.305363158,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)",2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,0.23265,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),2017-2018 density as a ratio of the recommended density-Fast food-Ratio of actual density to the recommended density,1.121481481,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.726428571,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.152941176,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.81,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.0377,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.61064,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.803333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.167408696,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.384,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.181818182,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.493982051,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.272727273,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.416666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.413793103,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.36,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.196666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.693333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.7,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,1.326666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.494545455,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)",2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.481296774,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.033394737,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)",2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.467033333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),2017-2018 density as a ratio of the recommended density-School-Ratio of actual density to the recommended density,0.717037037,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
